Name,Resturant_Index
Alpharetta,59
Buford,49
Covington,34
Cumming,84
Doraville,2
Downtown,2
Duluth,63
Dunwoody,2
Jefferson,77
Johns Creek,94
Kennesaw,2
Lawrenceville,21
Lilburn,60
Newnan,2
Norcross,36
North Druid Hills,67
Peachtree City,34
Sandy Springs,39
Smyrna,2
Snellville,34
Westside,34
